diseases,model,feature,eval_set,error
osd_ptosis,rbfSVM,hog,osd,1
osd_ptosis,rbfSVM,hog,ptosis,0
osd_ptosis,rbfSVM,hog,train,0.272463768
osd_ptosis,rbfSVMBalanced,hog,osd,0
osd_ptosis,rbfSVMBalanced,hog,ptosis,1
osd_ptosis,rbfSVMBalanced,hog,train,0.727536232
osd_ptosis,linearSVM,hog,osd,0.35042735
osd_ptosis,linearSVM,hog,ptosis,0.079872204
osd_ptosis,linearSVM,hog,train,0
osd_ptosis,linearSVMBalanced,hog,osd,0.35042735
osd_ptosis,linearSVMBalanced,hog,ptosis,0.079872204
osd_ptosis,linearSVMBalanced,hog,train,0
osd_ptosis,logisticRegression,hog,osd,0.435897436
osd_ptosis,logisticRegression,hog,ptosis,0.057507987
osd_ptosis,logisticRegression,hog,train,0.005797101
osd_ptosis,logisticRegressionBalanced,hog,osd,0.264957265
osd_ptosis,logisticRegressionBalanced,hog,ptosis,0.118210863
osd_ptosis,logisticRegressionBalanced,hog,train,0.010434783
osd_str,rbfSVM,hog,osd,1
osd_str,rbfSVM,hog,str,0
osd_str,rbfSVM,hog,train,0.183164458
osd_str,rbfSVMBalanced,hog,osd,1
osd_str,rbfSVMBalanced,hog,str,0
osd_str,rbfSVMBalanced,hog,train,0.183164458
osd_str,linearSVM,hog,osd,0.418803419
osd_str,linearSVM,hog,str,0.082217973
osd_str,linearSVM,hog,train,0
osd_str,linearSVMBalanced,hog,osd,0.418803419
osd_str,linearSVMBalanced,hog,str,0.082217973
osd_str,linearSVMBalanced,hog,train,0
osd_str,logisticRegression,hog,osd,0.632478632
osd_str,logisticRegression,hog,str,0.051625239
osd_str,logisticRegression,hog,train,0.015588465
osd_str,logisticRegressionBalanced,hog,osd,0.324786325
osd_str,logisticRegressionBalanced,hog,str,0.133843212
osd_str,logisticRegressionBalanced,hog,train,0.016367888
str_ptosis,rbfSVM,hog,str,0
str_ptosis,rbfSVM,hog,ptosis,1
str_ptosis,rbfSVM,hog,train,0.37451507
str_ptosis,rbfSVMBalanced,hog,str,1
str_ptosis,rbfSVMBalanced,hog,ptosis,0
str_ptosis,rbfSVMBalanced,hog,train,0.62548493
str_ptosis,linearSVM,hog,str,0.086042065
str_ptosis,linearSVM,hog,ptosis,0.159744409
str_ptosis,linearSVM,hog,train,0.004476276
str_ptosis,linearSVMBalanced,hog,str,0.086042065
str_ptosis,linearSVMBalanced,hog,ptosis,0.156549521
str_ptosis,linearSVMBalanced,hog,train,0.004774694
str_ptosis,logisticRegression,hog,str,0.07456979
str_ptosis,logisticRegression,hog,ptosis,0.17571885
str_ptosis,logisticRegression,hog,train,0.011638317
str_ptosis,logisticRegressionBalanced,hog,str,0.095602294
str_ptosis,logisticRegressionBalanced,hog,ptosis,0.134185304
str_ptosis,logisticRegressionBalanced,hog,train,0.010743062
