,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_pca__n_components,param_svc__C,param_svc__class_weight,param_svc__decision_function_shape,param_svc__gamma,param_svc__kernel,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,92.6461616039,16.054152441,0.843840282416,0.999454360479,1000,1000.0,,ovr,0.01,rbf,"{'svc__class_weight': None, 'svc__C': 1000.0, 'svc__decision_function_shape': 'ovr', 'pca__n_components': 1000, 'svc__kernel': 'rbf', 'svc__gamma': 0.01}",57,0.831481471203,0.999448361075,0.849352826134,0.999459563385,0.838798322663,0.999544822587,0.839939513922,0.999324153768,0.859629278159,0.999494901578,37.5434432023,3.48420402526,0.0097268503888,7.32718559577e-05
1,174.383710384,18.4391970158,0.862016890435,0.999631539867,1000,1000.0,,ovr,0.10000000000000001,rbf,"{'svc__class_weight': None, 'svc__C': 1000.0, 'svc__decision_function_shape': 'ovr', 'pca__n_components': 1000, 'svc__kernel': 'rbf', 'svc__gamma': 0.10000000000000001}",25,0.851202740965,0.999638586938,0.867858370013,0.9996169066,0.847772462819,0.999649851509,0.860941085406,0.999633476993,0.882309792971,0.999618877293,15.6677448368,1.2215606451,0.0123849237407,1.23547819221e-05
2,315.131173611,30.9082508087,0.872994207646,0.999973159691,1000,1000.0,,ovr,1.0,rbf,"{'svc__class_weight': None, 'svc__C': 1000.0, 'svc__decision_function_shape': 'ovr', 'pca__n_components': 1000, 'svc__kernel': 'rbf', 'svc__gamma': 1.0}",1,0.861969987143,0.999990363071,0.873504799192,0.999972396995,0.860763523599,0.999950314326,0.88307264334,0.999964133276,0.885660084954,0.999988590785,18.7077173725,1.90754567322,0.0103284373234,1.50867062188e-05
3,322.966807938,32.9073010445,0.85883422739,0.99996547575,1000,1000.0,,ovr,10.0,rbf,"{'svc__class_weight': None, 'svc__C': 1000.0, 'svc__decision_function_shape': 'ovr', 'pca__n_components': 1000, 'svc__kernel': 'rbf', 'svc__gamma': 10.0}",35,0.862625275198,0.999991681366,0.869960444305,0.99993765028,0.826278383308,0.99993974847,0.871773821601,0.999968364181,0.863533212537,0.999989934453,14.2553586648,4.90081981485,0.0166586991688,2.33643112212e-05
4,348.960795116,32.0614522457,0.552972064528,0.999964355461,1000,1000.0,,ovr,100.0,rbf,"{'svc__class_weight': None, 'svc__C': 1000.0, 'svc__decision_function_shape': 'ovr', 'pca__n_components': 1000, 'svc__kernel': 'rbf', 'svc__gamma': 100.0}",65,0.554262745234,0.999991681366,0.5536148012,0.999927300934,0.54484152191,0.999937871189,0.562399003371,0.999974989366,0.549742250927,0.999989934453,18.4140272059,2.49124597801,0.0057876344428,2.67900148096e-05
5,344.052598524,28.2422740936,0.552574642276,0.999958454197,1000,1000.0,,ovr,1000.0,rbf,"{'svc__class_weight': None, 'svc__C': 1000.0, 'svc__decision_function_shape': 'ovr', 'pca__n_components': 1000, 'svc__kernel': 'rbf', 'svc__gamma': 1000.0}",73,0.553273906528,0.999991681366,0.553618788209,0.999927339356,0.543839262348,0.999937871189,0.562399003371,0.999945444623,0.549742250927,0.999989934453,26.8728393175,0.863047004546,0.00604030769719,2.70410570877e-05
6,201.111929131,22.1678258896,0.843577804248,0.999487121409,1000,10000.0,,ovr,0.01,rbf,"{'svc__class_weight': None, 'svc__C': 10000.0, 'svc__decision_function_shape': 'ovr', 'pca__n_components': 1000, 'svc__kernel': 'rbf', 'svc__gamma': 0.01}",58,0.83139695013,0.9995098382,0.849352826134,0.999459563385,0.838319301372,0.999542142387,0.839444499097,0.999428854833,0.859375444505,0.999495208242,23.8170901958,2.03583702011,0.00975731096667,3.94035432417e-05
7,222.013635063,24.0417765617,0.862016890435,0.999631539867,1000,10000.0,,ovr,0.10000000000000001,rbf,"{'svc__class_weight': None, 'svc__C': 10000.0, 'svc__decision_function_shape': 'ovr', 'pca__n_components': 1000, 'svc__kernel': 'rbf', 'svc__gamma': 0.10000000000000001}",25,0.851202740965,0.999638586938,0.867858370013,0.9996169066,0.847772462819,0.999649851509,0.860941085406,0.999633476993,0.882309792971,0.999618877293,12.0892345217,3.49471545685,0.0123849237407,1.23547819221e-05
8,357.993741131,30.9406862736,0.872994207646,0.999973159691,1000,10000.0,,ovr,1.0,rbf,"{'svc__class_weight': None, 'svc__C': 10000.0, 'svc__decision_function_shape': 'ovr', 'pca__n_components': 1000, 'svc__kernel': 'rbf', 'svc__gamma': 1.0}",1,0.861969987143,0.999990363071,0.873504799192,0.999972396995,0.860763523599,0.999950314326,0.88307264334,0.999964133276,0.885660084954,0.999988590785,3.3202756413,0.592992111188,0.0103284373234,1.50867062188e-05
9,381.538063192,28.7791918278,0.858839269941,0.999965462706,1000,10000.0,,ovr,10.0,rbf,"{'svc__class_weight': None, 'svc__C': 10000.0, 'svc__decision_function_shape': 'ovr', 'pca__n_components': 1000, 'svc__kernel': 'rbf', 'svc__gamma': 10.0}",34,0.862599093851,0.999991681366,0.869957215134,0.99993765028,0.826405685038,0.999939683248,0.871783351672,0.999968364181,0.863451004008,0.999989934453,10.8459121011,3.26354029283,0.0166042148493,2.33786849577e-05
