diseases,model,feature,eval_set,error,,,
osd_ptosis,rbfsvm,hog,osd,0.24893617,,,
osd_ptosis,rvfsvmbalanced,hog,osd,0,,,
osd_ptosis,linearsvm,hog,osd,0.087234043,,,
osd_ptosis,linearsvmbalanced,hog,osd,0,,,
osd_ptosis,logisticregression,hog,osd,0.108510638,,,
osd_ptosis,logisticregressionbalanced,hog,osd,0.065957447,,,
osd_ptosis,rbfsvm,hog,ptosis,0,,,
osd_ptosis,rvfsvmbalanced,hog,ptosis,0.24940239,,,
osd_ptosis,linearsvm,hog,ptosis,0.019920319,,,
osd_ptosis,linearsvmbalanced,hog,ptosis,0.24940239,,,
osd_ptosis,logisticregression,hog,ptosis,0.014342629,,,
osd_ptosis,logisticregressionbalanced,hog,ptosis,0.029482072,,,
osd_ptosis,rbfsvm,hog,train,0.272463768,,,
osd_ptosis,rvfsvmbalanced,hog,train,0.727536232,,,
osd_ptosis,linearsvm,hog,train,0,,,
osd_ptosis,linearsvmbalanced,hog,train,0.727536232,,,
osd_ptosis,logisticregression,hog,train,0.005797101,,,
osd_ptosis,logisticregressionbalanced,hog,train,0.010434783,,,
osd_ptosis,rbfsvm,bright,osd,0.246808511,,,
osd_ptosis,rvfsvmbalanced,bright,osd,0.114893617,,,
osd_ptosis,linearsvm,bright,osd,0.24893617,,,
osd_ptosis,linearsvmbalanced,bright,osd,0.114893617,,,
osd_ptosis,logisticregression,bright,osd,0.24893617,,,
osd_ptosis,logisticregressionbalanced,bright,osd,0.108510638,,,
osd_ptosis,rbfsvm,bright,ptosis,0.00876494,,,
osd_ptosis,rvfsvmbalanced,bright,ptosis,0.122709163,,,
osd_ptosis,linearsvm,bright,ptosis,0,,,
osd_ptosis,linearsvmbalanced,bright,ptosis,0.122709163,,,
osd_ptosis,logisticregression,bright,ptosis,0,,,
osd_ptosis,logisticregressionbalanced,bright,ptosis,0.145816733,,,
osd_ptosis,rbfsvm,bright,train,0.264927536,,,
osd_ptosis,rvfsvmbalanced,bright,train,0.380869565,,,
osd_ptosis,linearsvm,bright,train,0.272463768,,,
osd_ptosis,linearsvmbalanced,bright,train,0.380869565,,,
osd_ptosis,logisticregression,bright,train,0.272463768,,,
osd_ptosis,logisticregressionbalanced,bright,train,0.547246377,,,
osd_ptosis,rbfsvm,random_hog,osd,0.24893617,,,
osd_ptosis,rvfsvmbalanced,random_hog,osd,0,,,
osd_ptosis,linearsvm,random_hog,osd,0.108510638,,,
osd_ptosis,linearsvmbalanced,random_hog,osd,0,,,
osd_ptosis,logisticregression,random_hog,osd,0.142553191,,,
osd_ptosis,logisticregressionbalanced,random_hog,osd,0.063829787,,,
osd_ptosis,rbfsvm,random_hog,ptosis,0,,,
osd_ptosis,rvfsvmbalanced,random_hog,ptosis,0.24940239,,,
osd_ptosis,linearsvm,random_hog,ptosis,0.019920319,,,
osd_ptosis,linearsvmbalanced,random_hog,ptosis,0.24940239,,,
osd_ptosis,logisticregression,random_hog,ptosis,0.010358566,,,
osd_ptosis,logisticregressionbalanced,random_hog,ptosis,0.041434263,,,
osd_ptosis,rbfsvm,random_hog,train,0.272463768,,,
osd_ptosis,rvfsvmbalanced,random_hog,train,0.727536232,,,
osd_ptosis,linearsvm,random_hog,train,0.084637681,,,
osd_ptosis,linearsvmbalanced,random_hog,train,0.727536232,,,
osd_ptosis,logisticregression,random_hog,train,0.131594203,,,
osd_ptosis,logisticregressionbalanced,random_hog,train,0.124637681,,,
osd_str,rbfsvm,hog,osd,0.24893617,,,
osd_str,rvfsvmbalanced,hog,osd,0.24893617,,,
osd_str,linearsvm,hog,osd,0.104255319,,,
osd_str,linearsvmbalanced,hog,osd,0.24893617,,,
osd_str,logisticregression,hog,osd,0.157446809,,,
osd_str,logisticregressionbalanced,hog,osd,0.080851064,,,
osd_str,rbfsvm,hog,str,0,,,
osd_str,rvfsvmbalanced,hog,str,0,,,
osd_str,linearsvm,hog,str,0.020515267,,,
osd_str,linearsvmbalanced,hog,str,0,,,
osd_str,logisticregression,hog,str,0.012881679,,,
osd_str,logisticregressionbalanced,hog,str,0.033396947,,,
osd_str,rbfsvm,hog,train,0.183164458,,,
osd_str,rvfsvmbalanced,hog,train,0.183164458,,,
osd_str,linearsvm,hog,train,0,,,
osd_str,linearsvmbalanced,hog,train,0.183164458,,,
osd_str,logisticregression,hog,train,0.015588465,,,
osd_str,logisticregressionbalanced,hog,train,0.016367888,,,
osd_str,rbfsvm,bright,osd,0.246808511,,,
osd_str,rvfsvmbalanced,bright,osd,0.123404255,,,
osd_str,linearsvm,bright,osd,0.24893617,,,
osd_str,linearsvmbalanced,bright,osd,0.123404255,,,
osd_str,logisticregression,bright,osd,0.24893617,,,
osd_str,logisticregressionbalanced,bright,osd,0.134042553,,,
osd_str,rbfsvm,bright,str,0.000954198,,,
osd_str,rvfsvmbalanced,bright,str,0.107824427,,,
osd_str,linearsvm,bright,str,0,,,
osd_str,linearsvmbalanced,bright,str,0.107824427,,,
osd_str,logisticregression,bright,str,0,,,
osd_str,logisticregressionbalanced,bright,str,0.104484733,,,
osd_str,rbfsvm,bright,train,0.179267342,,,
osd_str,rvfsvmbalanced,bright,train,0.360872954,,,
osd_str,linearsvm,bright,train,0.183164458,,,
osd_str,linearsvmbalanced,bright,train,0.360872954,,,
osd_str,logisticregression,bright,train,0.183164458,,,
osd_str,logisticregressionbalanced,bright,train,0.447778644,,,
osd_str,rbfsvm,random_hog,osd,0.24893617,,,
osd_str,rvfsvmbalanced,random_hog,osd,0.24893617,,,
osd_str,linearsvm,random_hog,osd,0.182978723,,,
osd_str,linearsvmbalanced,random_hog,osd,0.24893617,,,
osd_str,logisticregression,random_hog,osd,0.204255319,,,
osd_str,logisticregressionbalanced,random_hog,osd,0.046808511,,,
osd_str,rbfsvm,random_hog,str,0,,,
osd_str,rvfsvmbalanced,random_hog,str,0,,,
osd_str,linearsvm,random_hog,str,0.009541985,,,
osd_str,linearsvmbalanced,random_hog,str,0,,,
osd_str,logisticregression,random_hog,str,0.009541985,,,
osd_str,logisticregressionbalanced,random_hog,str,0.055343511,,,
osd_str,rbfsvm,random_hog,train,0.183164458,,,
osd_str,rvfsvmbalanced,random_hog,train,0.183164458,,,
osd_str,linearsvm,random_hog,train,0.095869057,,,
osd_str,linearsvmbalanced,random_hog,train,0.183164458,,,
osd_str,logisticregression,random_hog,train,0.137957911,,,
osd_str,logisticregressionbalanced,random_hog,train,0.155494934,,,
str_ptosis,rbfsvm,hog,str,0,,,
str_ptosis,rvfsvmbalanced,hog,str,0.249522901,,,
str_ptosis,linearsvm,hog,str,0.021469466,,,
str_ptosis,linearsvmbalanced,hog,str,0.249522901,,,
str_ptosis,logisticregression,hog,str,0.01860687,,,
str_ptosis,logisticregressionbalanced,hog,str,0.023854962,,,
str_ptosis,rbfsvm,hog,ptosis,0.24940239,,,
str_ptosis,rvfsvmbalanced,hog,ptosis,0,,,
str_ptosis,linearsvm,hog,ptosis,0.039840637,,,
str_ptosis,linearsvmbalanced,hog,ptosis,0,,,
str_ptosis,logisticregression,hog,ptosis,0.043824701,,,
str_ptosis,logisticregressionbalanced,hog,ptosis,0.033466135,,,
str_ptosis,rbfsvm,hog,train,0.37451507,,,
str_ptosis,rvfsvmbalanced,hog,train,0.62548493,,,
str_ptosis,linearsvm,hog,train,0.004476276,,,
str_ptosis,linearsvmbalanced,hog,train,0.62548493,,,
str_ptosis,logisticregression,hog,train,0.011638317,,,
str_ptosis,logisticregressionbalanced,hog,train,0.010743062,,,
str_ptosis,rbfsvm,bright,str,0.015744275,,,
str_ptosis,rvfsvmbalanced,bright,str,0.119751908,,,
str_ptosis,linearsvm,bright,str,0,,,
str_ptosis,linearsvmbalanced,bright,str,0.119751908,,,
str_ptosis,logisticregression,bright,str,0,,,
str_ptosis,logisticregressionbalanced,bright,str,0.103530534,,,
str_ptosis,rbfsvm,bright,ptosis,0.227888446,,,
str_ptosis,rvfsvmbalanced,bright,ptosis,0.117131474,,,
str_ptosis,linearsvm,bright,ptosis,0.24940239,,,
str_ptosis,linearsvmbalanced,bright,ptosis,0.117131474,,,
str_ptosis,logisticregression,bright,ptosis,0.24940239,,,
str_ptosis,logisticregressionbalanced,bright,ptosis,0.14501992,,,
str_ptosis,rbfsvm,bright,train,0.353625783,,,
str_ptosis,rvfsvmbalanced,bright,train,0.401671143,,,
str_ptosis,linearsvm,bright,train,0.37451507,,,
str_ptosis,linearsvmbalanced,bright,train,0.401671143,,,
str_ptosis,logisticregression,bright,train,0.37451507,,,
str_ptosis,logisticregressionbalanced,bright,train,0.473589973,,,
str_ptosis,rbfsvm,random_hog,str,0,,,
str_ptosis,rvfsvmbalanced,random_hog,str,0.249522901,,,
str_ptosis,linearsvm,random_hog,str,0.019083969,,,
str_ptosis,linearsvmbalanced,random_hog,str,0.249522901,,,
str_ptosis,logisticregression,random_hog,str,0.020038168,,,
